SOURCE_ROW_INDEX,DATA_SPLIT,DATA_STAGE,CURRENT_ENERGY_RATING,CURRENT_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,CONSTRUCTION_AGE_BAND,CONSTRUCTION_AGE_GROUP,MAIN_FUEL,MAIN_FUEL_GROUP,MAINS_GAS_FLAG,GLAZED_TYPE,GLAZED_AREA,GLAZING_GROUP,WALLS_DESCRIPTION,ROOF_DESCRIPTION,WINDOWS_DESCRIPTION,FLOOR_DESCRIPTION,MAINHEAT_DESCRIPTION,MAINHEATCONT_DESCRIPTION,HOTWATER_DESCRIPTION,MECHANICAL_VENTILATION,BUILDING_STRUCTURE_TYPE,FLOOR_AREA_BAND,LOW_ENERGY_LIGHTING_GROUP,SOLAR_WATER_HEATING_FLAG,TOTAL_FLOOR_AREA,FLOOR_LEVEL,MULTI_GLAZE_PROPORTION,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,WIND_TURBINE_COUNT,FLOOR_HEIGHT,PHOTO_SUPPLY,FIXED_LIGHTING_OUTLETS_COUNT,AREA_PER_HABITABLE_ROOM,HEATED_ROOM_RATIO,OPEN_FIREPLACE_FLAG,RENEWABLE_SYSTEM_FLAG
0,Training,Missing-free model-ready data; training-only median/mode imputation,C,75.0,House,Mid-Terrace,England and Wales: 1967-1975,1967-1990,mains gas (not community),Gas,Y,"double glazing, unknown install date",Normal,Fully glazed,"Cavity wall, as built, no insulation (assumed)","Pitched, 400+ mm loft insulation",Fully double glazed,"Solid, no insulation (assumed)","Boiler and radiators, mains gas","Programmer, room thermostat and TRVs",From main system,natural,House | Mid-Terrace,Medium (50-100 m²),High,N,99.0,1.0,100.0,1.0,5.0,5.0,100.0,0.0,0.0,2.3,0.0,22.0,19.8,1.0,0,0
1,Testing,Missing-free model-ready data; training-only median/mode imputation,D,63.0,House,Semi-Detached,England and Wales: 1930-1949,1930-1966,mains gas (not community),Gas,Y,not defined,Much More Than Typical,Fully glazed,"Solid brick, as built, no insulation (assumed)","Pitched, 100 mm loft insulation",Fully double glazed,"Suspended, no insulation (assumed)","Boiler and radiators, mains gas","Programmer, TRVs and bypass",From main system,natural,House | Semi-Detached,Medium (50-100 m²),High,N,75.0,1.0,100.0,1.0,5.0,5.0,100.0,0.0,0.0,2.41,0.0,9.0,15.0,1.0,0,0
2,Training,Missing-free model-ready data; training-only median/mode imputation,D,66.0,Flat,End-Terrace,England and Wales: 1930-1949,1930-1966,mains gas (not community),Gas,Y,not defined,Much More Than Typical,Fully glazed,"Solid brick, as built, no insulation (assumed)",(another dwelling above),Fully double glazed,"Solid, no insulation (assumed)","Boiler and radiators, mains gas",Programmer and room thermostat,From main system,natural,Flat | End-Terrace,Small (<50 m²),High,N,43.0,0.0,100.0,0.0,2.0,2.0,100.0,1.0,0.0,2.44,0.0,6.0,21.5,1.0,1,0
3,Training,Missing-free model-ready data; training-only median/mode imputation,C,80.0,House,Mid-Terrace,England and Wales: 2012 onwards,2012 onwards,mains gas (not community),Gas,Y,double glazing installed during or after 2002,Normal,Fully glazed,"Cavity wall, as built, insulated (assumed)","Flat, insulated (assumed)",Fully double glazed,"Solid, insulated (assumed)","Boiler and radiators, mains gas",Time and temperature zone control,From main system,natural,House | Mid-Terrace,Large (>100 m²),High,N,104.0,1.0,100.0,0.0,5.0,5.0,100.0,0.0,0.0,2.41,0.0,12.0,20.8,1.0,0,0
4,Testing,Missing-free model-ready data; training-only median/mode imputation,C,75.0,House,Mid-Terrace,England and Wales: 1900-1929,Pre-1930,mains gas (not community),Gas,Y,triple glazing,Normal,Fully glazed,"Solid brick, with external insulation","Pitched, 300 mm loft insulation",Fully triple glazed,"Suspended, no insulation (assumed)","Boiler and radiators, mains gas","Programmer, room thermostat and TRVs",From main system,natural,House | Mid-Terrace,Medium (50-100 m²),High,N,74.0,1.0,100.0,1.0,5.0,5.0,100.0,0.0,0.0,2.46,0.0,9.0,14.8,1.0,0,0
5,Training,Missing-free model-ready data; training-only median/mode imputation,D,67.0,Flat,End-Terrace,England and Wales: 1930-1949,1930-1966,mains gas (not community),Gas,Y,not defined,Much More Than Typical,Fully glazed,"Solid brick, as built, no insulation (assumed)",(another dwelling above),Fully double glazed,"Solid, no insulation (assumed)","Boiler and radiators, mains gas","Programmer, room thermostat and TRVs",From main system,natural,Flat | End-Terrace,Small (<50 m²),High,N,43.0,0.0,100.0,0.0,2.0,2.0,100.0,0.0,0.0,2.44,0.0,5.0,21.5,1.0,0,0
6,Training,Missing-free model-ready data; training-only median/mode imputation,C,72.0,Flat,Mid-Terrace,England and Wales: 1930-1949,1930-1966,mains gas (not community),Gas,Y,not defined,Much More Than Typical,Fully glazed,"Solid brick, as built, no insulation (assumed)","Pitched, 300 mm loft insulation",Fully double glazed,(another dwelling below),"Boiler and radiators, mains gas","Programmer, TRVs and bypass",From main system,natural,Flat | Mid-Terrace,Small (<50 m²),High,N,43.0,1.0,100.0,0.0,2.0,2.0,100.0,0.0,0.0,2.48,0.0,6.0,21.5,1.0,0,0
7,Training,Missing-free model-ready data; training-only median/mode imputation,C,72.0,Flat,Detached,England and Wales: 1967-1975,1967-1990,mains gas (not community),Gas,Y,"double glazing, unknown install date",Normal,Fully glazed,"Cavity wall, filled cavity","Pitched, 50 mm loft insulation",Fully double glazed,(another dwelling below),"Boiler and radiators, mains gas","Programmer, room thermostat and TRVs",From main system,natural,Flat | Detached,Medium (50-100 m²),High,N,61.0,2.0,100.0,0.0,3.0,3.0,83.0,0.0,0.0,2.38,0.0,6.0,20.333333333333332,1.0,0,0
8,Training,Missing-free model-ready data; training-only median/mode imputation,D,67.0,House,Mid-Terrace,England and Wales: 1930-1949,1930-1966,mains gas (not community),Gas,Y,"double glazing, unknown install date",Normal,Fully glazed,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Suspended, no insulation (assumed)","Boiler and radiators, mains gas","Programmer, room thermostat and TRVs",From main system,natural,House | Mid-Terrace,Medium (50-100 m²),High,N,62.0,1.0,100.0,0.0,3.0,3.0,100.0,0.0,0.0,2.44,0.0,7.0,20.666666666666668,1.0,0,0
9,Training,Missing-free model-ready data; training-only median/mode imputation,C,79.0,Flat,Detached,England and Wales: 2012 onwards,2012 onwards,mains gas (not community),Gas,Y,double glazing installed during or after 2002,Normal,Fully glazed,"Cavity wall, as built, insulated (assumed)",(another dwelling above),Fully double glazed,"Suspended, insulated (assumed)","Boiler and radiators, mains gas","Programmer, room thermostat and TRVs",From main system,natural,Flat | Detached,Medium (50-100 m²),High,N,71.0,0.0,100.0,0.0,3.0,3.0,100.0,0.0,0.0,2.38,10.0,17.0,23.666666666666668,1.0,0,1
